county,ward,total,Screnock,Dallet,SCATTERING
,Town of ROSS Ward 1,21,12,9,0
,Town of WABENO Ward 1,55,26,29,0
,Town of WABENO Ward 2,8,3,5,0
,Town of WABENO Ward 3,21,15,6,0
,Town of WABENO Ward 4,46,32,13,1
,Town of WABENO Ward 5,5,3,2,0
,City of CRANDON Ward 1,59,35,24,0
,City of CRANDON Ward 2,82,34,48,0
,City of CRANDON Ward 3,63,34,29,0
,City of CRANDON Ward 4,104,71,33,0
,County Totals:,"1,791",976,811,4
GRANT ,Town of BEETOWN Ward 1,81,52,29,0
,Town of BLOOMINGTON Ward 1,43,29,14,0
,Town of BOSCOBEL Wards 1-2,76,35,41,0
,Town of CASSVILLE Ward 1,56,31,25,0
,Town of CASTLE ROCK Ward 1,67,40,27,0
,Town of CLIFTON Wards 1-2,49,28,21,0
,Town of ELLENBORO Ward 1,98,63,35,0
,Town of FENNIMORE Wards 1-2,40,20,20,0
,Town of GLEN HAVEN Ward 1,173,110,63,0
,Town of HARRISON Ward 1,91,55,36,0
,Town of HAZEL GREEN Wards 1-2,155,68,87,0
,Town of HICKORY GROVE Ward 1,91,53,38,0
,Town of JAMESTOWN Wards 1-3,329,180,147,2
,Town of LIBERTY Ward 1,63,41,22,0
,Town of LIMA Ward 1,114,48,66,0
,Town of LITTLE GRANT Ward 1,36,27,9,0
,Town of MARION Ward 1,107,64,43,0
,Town of MILLVILLE Ward 1,29,11,18,0
,Town of MOUNT HOPE Ward 1,25,16,9,0
,Town of MOUNT IDA Ward 1,83,45,38,0
,Town of MUSCODA Ward 1,52,29,23,0
,Town of NORTH LANCASTER Wards 1-2,69,40,29,0
,Town of PARIS Wards 1-2,67,46,21,0
,Town of PATCH GROVE Ward 1,47,25,22,0
,Town of PLATTEVILLE Wards 1-3,263,117,146,0
,Town of POTOSI Ward 1,69,30,39,0
,Town of SMELSER Wards 1-2,130,71,59,0
,Town of SOUTH LANCASTER Wards 1-3,81,42,39,0
,Town of WATERLOO Ward 1,69,43,26,0
,Town of WATTERSTOWN Wards 1-2,65,33,32,0
,Town of WINGVILLE Ward 1,70,28,42,0
,Town of WOODMAN Ward 1,22,15,7,0
,Town of WYALUSING Ward 1,64,27,37,0
,Village of BAGLEY Ward 1,57,18,39,0
,Village of BLOOMINGTON Ward 1,87,47,40,0
,Village of BLUE RIVER Ward 1,88,42,46,0
,Village of CASSVILLE Wards 1-2,162,74,88,0
,Village of DICKEYVILLE Wards 1-2,137,72,65,0
,Village of HAZEL GREEN Ward 1-2,152,62,90,0
,Village of LIVINGSTON Ward 1,108,48,60,0
,Village of MONTFORT Ward 1,99,35,64,0
,Village of MOUNT HOPE Ward 1,18,13,5,0
,Village of MUSCODA Wards 1-2,158,71,87,0
,Village of PATCH GROVE Ward 1,30,12,18,0
,Village of POTOSI Ward 1,78,35,43,0
,Village of TENNYSON Ward 1,44,22,22,0
,Village of WOODMAN Ward 1,24,16,8,0
,City of BOSCOBEL Ward 1-4,449,180,267,2
,City of CUBA CITY Wards 1-4,210,72,136,2
,City of FENNIMORE Wards 1-4,285,122,163,0
,City of LANCASTER Wards 1-6,540,237,303,0
,City of PLATTEVILLE Ward 1-2,510,171,337,2
,City of PLATTEVILLE Ward 3-4,332,97,234,1
,City of PLATTEVILLE Ward 5-6,177,65,112,0
,City of PLATTEVILLE Ward 7-9,367,97,270,0
,County Totals:,"6,986","3,170","3,807",9
GREEN ,Town of ADAMS Ward 1,132,52,80,0
,Town of ALBANY Wards 1-2,244,100,144,0
,Town of BROOKLYN Ward 1,189,61,128,0
,Town of BROOKLYN Ward 2,35,21,14,0
,Town of BROOKLYN Ward 3,50,18,32,0
,Town of CADIZ Ward 1,198,107,91,0
,Town of CLARNO Wards 1-2,227,119,108,0
,Town of DECATUR Wards 1-2,254,102,152,0
,Town of DECATUR Ward 3,107,47,60,0
,Town of EXETER Ward 1,147,51,96,0
,Town of EXETER Wards 2-3,279,77,202,0
,Town of EXETER Ward 4,80,21,59,0
,Town of JEFFERSON Wards 1-2,304,174,130,0
,Town of JORDAN Ward 1,130,61,69,0
,Town of MONROE Wards 1-2,275,121,154,0
,Town of MOUNT PLEASANT Wards 1-2,105,49,56,0
,Town of MOUNT PLEASANT Ward 3,55,18,37,0
,Town of NEW GLARUS Ward 1,309,117,192,0
,Town of NEW GLARUS Ward 2,79,26,53,0
,Town of SPRING GROVE Ward 1,163,87,76,0
,Town of SYLVESTER Wards 1-2,204,105,99,0
,Town of WASHINGTON Ward 1,166,57,109,0
,Town of YORK Ward 1,241,84,155,2
,Village of ALBANY Wards 1-2,168,40,128,0
,VILLAGE OF BELLEVILLE Ward 3,72,20,52,0
,VILLAGE OF BROOKLYN Ward 2,85,22,63,0
,Village of BROWNTOWN Ward 1,51,28,23,0
,Village of MONTICELLO Wards 1-2,282,101,181,0
,Village of NEW GLARUS Wards 1-2,290,71,219,0
,Village of NEW GLARUS Wards 3-4,299,79,219,1
,City of BRODHEAD Ward 1,121,45,76,0
,City of BRODHEAD Ward 2,121,47,74,0
,City of BRODHEAD Ward 3,128,46,80,2
,City of BRODHEAD Ward 4,95,35,59,1
,City of BRODHEAD Ward 5,103,48,53,2
,City of BRODHEAD Ward 6,92,35,56,1
,City of MONROE Ward 1,179,61,118,0
,City of MONROE Ward 2,208,85,123,0
,City of MONROE Ward 3,275,103,170,2
,City of MONROE Ward 4,173,41,132,0
,City of MONROE Ward 5,189,67,121,1
,City of MONROE Ward 6,138,48,90,0
,City of MONROE Ward 7,153,39,113,1
,City of MONROE Ward 8,252,84,168,0
,City of MONROE Ward 9,106,27,79,0
,City of MONROE Ward 10,0,0,0,0
,County Totals:,"7,553","2,847","4,693",13
GREEN LAKE ,Town of BERLIN Ward 1,195,121,74,0
,Town of BERLIN Ward 2,0,0,0,0
,Town of BERLIN Ward 3,0,0,0,0
,Town of BROOKLYN Ward 1,392,219,173,0
,Town of BROOKLYN Ward 2,0,0,0,0
,Town of BROOKLYN Ward 3,0,0,0,0
,Town of GREEN LAKE Ward 1,297,190,107,0
,Town of GREEN LAKE Ward 2,0,0,0,0
,Town of KINGSTON Ward 1,149,101,48,0
,Town of KINGSTON Ward 2,0,0,0,0
,Town of MACKFORD Ward 1,139,95,44,0
,Town of MANCHESTER Ward 1,172,119,53,0
,Town of MARQUETTE Ward 1,119,67,52,0
,Town of PRINCETON Ward 1,295,162,133,0
,Town of PRINCETON Ward 2,0,0,0,0
,Town of PRINCETON Ward 3,0,0,0,0
,Town of PRINCETON Ward 4,0,0,0,0
,Town of ST. MARIE Ward 1,75,41,34,0
,Town of ST. MARIE Ward 2,0,0,0,0
,Town of SENECA Ward 1,69,41,28,0
,Village of KINGSTON Ward 1,91,59,32,0
,Village of MARQUETTE Ward 1,48,28,20,0
,City of BERLIN Ward 1,144,73,71,0
,City of BERLIN Ward 2,102,51,51,0
,City of BERLIN Ward 3,41,20,21,0
,City of BERLIN Ward 4,79,43,36,0
,City of BERLIN Ward 5,77,41,36,0
,City of BERLIN Ward 6,72,39,33,0
,City of GREEN LAKE Ward 1,54,23,30,1
,City of GREEN LAKE Ward 2,65,38,27,0
,City of GREEN LAKE Ward 3,67,32,35,0
,City of GREEN LAKE Ward 4,0,0,0,0
,City of GREEN LAKE Ward 5,0,0,0,0
,City of MARKESAN Ward 1,64,40,24,0
,City of MARKESAN Ward 2,132,91,41,0
,City of MARKESAN Ward 3,120,76,44,0
,City of PRINCETON Ward 1,33,17,16,0
,City of PRINCETON Ward 2,41,29,12,0
,City of PRINCETON Ward 3,66,28,38,0
,City of PRINCETON Ward 4,51,29,22,0
,County Totals:,"3,249","1,913","1,335",1
IOWA ,Town of ARENA Wards 1-2,339,115,224,0
,Town of BRIGHAM Wards 1-2,259,77,181,1
,Town of CLYDE Ward 1,94,32,62,0
,Town of DODGEVILLE Wards 1-4,377,111,265,1
,Town of EDEN Ward 1,101,46,55,0
,Town of HIGHLAND Ward 1-2,109,51,58,0
,Town of LINDEN Wards 1-3,133,65,68,0
,Town of MIFFLIN Wards 1-2,100,53,47,0
,Town of MINERAL POINT Wards 1-2,263,130,133,0
,Town of MOSCOW Wards 1-2,146,59,87,0
,Town of PULASKI Ward 1,56,27,29,0
,Town of RIDGEWAY Wards 1-2,191,53,138,0
,Town of WALDWICK Wards 1-2,111,34,76,1
,Town of WYOMING Wards 1-2,116,22,94,0
,Village of ARENA Ward 1,126,45,81,0
,Village of AVOCA Ward 1,113,52,61,0
,Village of BARNEVELD Wards 1-2,220,76,143,1
,VILLAGE OF BLANCHARDVILLE Ward 2,27,6,21,0
,Village of COBB Ward 1,115,41,74,0
,Village of HIGHLAND Ward 1,109,45,64,0
,Village of HOLLANDALE Ward 1,84,23,61,0
,Village of LINDEN Ward 1,82,25,57,0
,VILLAGE OF LIVINGSTON Ward 2,0,0,0,0
,VILLAGE OF MONTFORT Ward 2,20,8,12,0
,VILLAGE OF MUSCODA Ward 3,3,2,1,0
,Village of REWEY Ward 1,35,14,21,0
,Village of RIDGEWAY Ward 1,125,40,85,0
,City of DODGEVILLE Wards 1-10,731,221,508,2
,City of MINERAL POINT Wards 1-6,698,170,527,1
,County Totals:,"4,883","1,643","3,233",7
IRON ,Town of ANDERSON Ward 1,13,4,9,0
,Town of CAREY Ward 1,26,18,8,0
,Town of GURNEY Ward 1,38,17,21,0
,Town of KIMBALL Ward 1,88,35,53,0
,Town of KNIGHT Ward 1,33,14,19,0
,Town of MERCER Wards 1-4,641,346,295,0
,Town of OMA Ward 1,95,61,34,0
,Town of PENCE Ward 1,28,9,19,0
,Town of SAXON Ward 1,62,34,28,0
,Town of SHERMAN Ward 1,78,35,43,0
,City of HURLEY Ward 1,103,45,58,0
,City of HURLEY Ward 2,86,46,40,0
,City of HURLEY Ward 3,59,30,29,0
,City of HURLEY Ward 4,82,33,49,0
,City of MONTREAL Ward 1-2,197,102,93,2
,County Totals:,"1,629",829,798,2
JACKSON ,Town of ADAMS Ward 1-3,196,91,105,0
,Town of ALBION Ward 1-4,139,56,83,0
,Town of ALMA Ward 1-5,116,67,49,0
,Town of BEAR BLUFF Ward 1,24,19,5,0
,Town of BROCKWAY Ward 1-6,144,47,97,0
,Town of CITY POINT Ward 1,41,18,23,0
,Town of CLEVELAND Ward 1,80,49,31,0
,Town of CURRAN Ward 1,48,19,29,0
,Town of FRANKLIN Ward 1,48,9,39,0
,Town of GARDEN VALLEY Ward 1,69,37,32,0
,Town of GARFIELD Ward 1,78,43,35,0
,Town of HIXTON Ward 1-2,68,29,39,0
,Town of IRVING Ward 1-3,68,24,44,0
,Town of KNAPP Ward 1,42,18,24,0
,Town of KOMENSKY Ward 1,24,9,15,0
,Town of MANCHESTER Ward 1,151,84,67,0
,Town of MELROSE Ward 1,57,36,21,0
,Town of MILLSTON Ward 1,26,13,13,0
,Town of NORTH BEND Ward 1,61,28,33,0
,Town of NORTHFIELD Ward 1,94,47,47,0
,Town of SPRINGFIELD Ward 1,86,33,53,0
,Village of ALMA CENTER Ward 1,62,27,35,0
,Village of HIXTON Ward 1,55,20,35,0
,Village of MELROSE Ward 1,90,38,52,0
,Village of MERRILLAN Ward 1,58,24,34,0
,Village of TAYLOR Ward 1,56,17,39,0
,City of BLACK RIVER FALLS Ward 1,133,50,83,0
,City of BLACK RIVER FALLS Ward 2,102,38,64,0
,City of BLACK RIVER FALLS Ward 3,65,17,48,0
,City of BLACK RIVER FALLS Ward 4,109,48,61,0
,County Totals:,"2,390","1,055","1,335",0
JEFFERSON ,Town of AZTALAN Wards 1-2,293,155,138,0
,Town of COLD SPRING Ward 1,169,91,78,0
,Town of CONCORD Wards 1-3,482,318,164,0
,Town of FARMINGTON Wards 1-2,319,206,113,0
,Town of HEBRON Wards 1-2,229,134,95,0
,Town of IXONIA Wards 1-6,"1,063",754,308,1
,Town of JEFFERSON Wards 1-3,455,270,185,0
,Town of KOSHKONONG Wards 1-6,744,396,348,0
,Town of LAKE MILLS Wards 1-3,517,215,300,2
,Town of MILFORD Wards 1-2,238,134,104,0
,Town of OAKLAND Ward 1-4,692,287,403,2
,Town of PALMYRA Ward 1-2,314,200,114,0
,Town of SULLIVAN Wards 1-3,479,314,164,1
,Town of SUMNER Ward 1,188,94,94,0
,Town of WATERLOO Ward 1,186,91,95,0
,Town of WATERTOWN Wards 1-2,415,272,142,1
,VILLAGE OF CAMBRIDGE Ward 1,17,4,13,0
,Village of JOHNSON CREEK Ward 1-3,437,219,218,0
,VILLAGE OF LAC LA BELLE Ward 2,0,0,0,0
,Village of PALMYRA Ward 1-2,275,161,114,0
,Village of SULLIVAN Ward 1,140,93,47,0
,City of FORT ATKINSON Wards 1-2,521,208,313,0
,City of FORT ATKINSON Wards 3-4,438,179,259,0
,City of FORT ATKINSON Wards 5-6,336,126,209,1
,"City of FORT ATKINSON Wards 7,9",459,169,289,1
,City of FORT ATKINSON Ward 8,237,105,132,0
,City of JEFFERSON Wards 1-11,"1,094",506,586,2
,City of LAKE MILLS Wards 1-8,"1,275",460,814,1
,City of WATERLOO Ward 1-5,485,220,265,0
,"City of WATERTOWN Wards 8,19",100,52,48,0
,City of WATERTOWN Wards 9-10,265,173,92,0
,City of WATERTOWN Wards 11-12,300,171,129,0
,City of WATERTOWN Wards 13-14,409,250,158,1
,City of WATERTOWN Wards 15-16,376,204,172,0
,City of WATERTOWN Wards 17-18,587,369,218,0
,CITY OF WHITEWATER Wards 10-12,170,68,102,0
,County Totals:,"14,704","7,668","7,023",13
JUNEAU ,Town of ARMENIA Ward 1,123,71,52,0
,Town of CLEARFIELD Wards 1-2,168,104,64,0
,Town of CUTLER Ward 1,63,41,22,0
,Town of FINLEY Ward 1,33,25,8,0
,Town of FOUNTAIN Wards 1-2,139,69,70,0
,Town of GERMANTOWN Wards 1-3,289,173,116,0
,Town of KILDARE Ward 1,109,62,47,0
,Town of KINGSTON Ward 1,7,6,1,0
,Town of LEMONWEIR Wards 1-4,282,161,121,0
,Town of LINDINA Ward 1,202,105,97,0
,Town of LISBON Wards 1-3,185,88,97,0
,Town of LYNDON Wards 1-3,213,108,102,3
,Town of MARION Ward 1,95,64,31,0
,Town of NECEDAH Wards 1-4,591,357,233,1
,Town of ORANGE Ward 1,122,75,47,0
,Town of PLYMOUTH Ward 1,148,69,79,0
,Town of SEVEN MILE CREEK Wards 1-2,75,44,31,0
,Town of SUMMIT Ward 1,119,64,55,0
,Town of WONEWOC Wards 1-2,104,54,50,0
,Village of CAMP DOUGLAS Ward 1,69,38,31,0
,Village of HUSTLER Ward 1,48,21,27,0
,Village of LYNDON STATION Ward 1,51,16,35,0
,Village of NECEDAH Ward 1,198,100,97,1
,Village of UNION CENTER Ward 1,33,18,15,0
,Village of WONEWOC Ward 1,102,55,47,0
,City of ELROY Wards 1-7,241,121,120,0
,City of MAUSTON Wards 1-7,616,297,318,1
,City of NEW LISBON Wards 1-7,338,194,144,0
,CITY OF WISCONSIN DELLS Ward 7,0,0,0,0
,County Totals:,"4,763","2,600","2,157",6
KENOSHA ,Town of BRIGHTON Wards 1-4,305,180,125,0
,Town of PARIS Wards 1-2,279,168,111,0
,Town of RANDALL Wards 1-7,669,339,329,1
,Town of SOMERS Wards 1-2,160,84,76,0
,Town of WHEATLAND Ward 1-6,690,382,307,1
,"Village of BRISTOL Wards 1-3,8",407,240,167,0
,Village of BRISTOL Wards 4-7,360,208,152,0
,VILLAGE OF GENOA CITY Ward 5,0,0,0,0
,Village of PADDOCK LAKE Wards 1-6,377,198,178,1
,Village of PLEASANT PRAIRIE Ward 1-3,791,386,403,2
,Village of PLEASANT PRAIRIE Ward 4-5,339,157,182,0
,Village of PLEASANT PRAIRIE Ward 6-7,539,221,318,0
,Village of PLEASANT PRAIRIE Ward 8-11,690,370,320,0
,Village of PLEASANT PRAIRIE Ward 12-14,653,307,344,2
,"Village of SALEM LAKES Wards 1-5,10",937,545,392,0
,Village of SALEM LAKES Wards 6-9,660,325,334,1
,Village of SALEM LAKES Wards 11-13,397,204,192,1
,Village of SOMERS Wards 1-4,498,231,267,0
,"Village of SOMERS Wards 5-6,9-10",411,177,233,1
,Village of SOMERS Wards 7-8,179,67,112,0
,Village of SOMERS Wards 11-12,279,158,121,0
,Village of TWIN LAKES Wards 1-8,776,374,399,3
,City of KENOSHA Ward 1,106,35,71,0
,City of KENOSHA Ward 2,124,50,74,0
,City of KENOSHA Ward 3,7,0,7,0
,City of KENOSHA Ward 4,289,69,219,1
,City of KENOSHA Ward 5,133,34,99,0
,City of KENOSHA Ward 6,127,51,76,0
,City of KENOSHA Ward 7,54,13,40,1
,City of KENOSHA Ward 8,291,86,204,1
,City of KENOSHA Ward 9,85,24,61,0
,City of KENOSHA Ward 10,48,13,35,0
,City of KENOSHA Ward 11,111,35,76,0
,City of KENOSHA Ward 12,223,66,157,0
,City of KENOSHA Ward 13,299,123,176,0
,City of KENOSHA Ward 14,173,74,98,1
,City of KENOSHA Ward 15,307,124,183,0
,City of KENOSHA Ward 16,104,33,71,0
,City of KENOSHA Ward 17,59,13,46,0
,City of KENOSHA Ward 18,134,35,99,0
,City of KENOSHA Ward 19,57,19,38,0
,City of KENOSHA Ward 20,190,68,122,0
,City of KENOSHA Ward 21,86,30,56,0
,City of KENOSHA Ward 22,341,127,213,1
,City of KENOSHA Ward 23,137,51,86,0
,City of KENOSHA Ward 24,174,53,121,0
,City of KENOSHA Ward 25,210,58,151,1
,City of KENOSHA Ward 26,50,21,29,0
,City of KENOSHA Ward 27,93,28,64,1
,City of KENOSHA Ward 28,40,8,32,0
,City of KENOSHA Ward 29,76,19,57,0
,City of KENOSHA Ward 30,55,20,34,1
,City of KENOSHA Ward 31,149,42,107,0
,City of KENOSHA Ward 32,35,13,22,0
,City of KENOSHA Ward 33,0,0,0,0
,City of KENOSHA Ward 34,91,33,58,0
,City of KENOSHA Ward 35,204,67,137,0
,City of KENOSHA Ward 36,42,10,32,0
,City of KENOSHA Ward 37,163,46,117,0
,City of KENOSHA Ward 38,361,115,246,0
,City of KENOSHA Ward 39,140,60,80,0
,City of KENOSHA Ward 40,58,18,39,1
,City of KENOSHA Ward 41,93,37,56,0
,City of KENOSHA Ward 42,53,17,36,0
,City of KENOSHA Ward 43,211,86,125,0
,City of KENOSHA Ward 44,141,75,66,0
,City of KENOSHA Ward 45,65,24,41,0
,City of KENOSHA Ward 46,74,21,53,0
,City of KENOSHA Ward 47,34,11,23,0
,City of KENOSHA Ward 48,40,9,31,0
,City of KENOSHA Ward 49,52,16,36,0
,City of KENOSHA Ward 50,80,19,61,0
,City of KENOSHA Ward 51,80,27,53,0
,City of KENOSHA Ward 52,140,45,95,0
,City of KENOSHA Ward 53,71,34,37,0
,City of KENOSHA Ward 54,253,114,139,0
,City of KENOSHA Ward 55,89,27,62,0
,City of KENOSHA Ward 56,140,51,89,0
,City of KENOSHA Ward 57,263,102,161,0
,City of KENOSHA Ward 58,10,3,7,0
,City of KENOSHA Ward 59,252,103,149,0
,City of KENOSHA Ward 60,229,75,154,0
,City of KENOSHA Ward 61,98,37,61,0
,City of KENOSHA Ward 62,238,100,138,0
,City of KENOSHA Ward 63,123,51,72,0
,City of KENOSHA Ward 64,193,83,108,2
,City of KENOSHA Ward 65,4,1,3,0
,City of KENOSHA Ward 66,397,159,238,0
,City of KENOSHA Ward 67,210,62,148,0
,City of KENOSHA Ward 68,111,51,60,0
,City of KENOSHA Ward 69,23,10,13,0
,City of KENOSHA Ward 70,2,0,2,0
,City of KENOSHA Ward 71,68,19,49,0
,City of KENOSHA Ward 72,159,58,101,0
,City of KENOSHA Ward 73,108,45,63,0
,City of KENOSHA Ward 74,0,0,0,0
,City of KENOSHA Ward 75,109,48,60,1
,City of KENOSHA Ward 76,86,46,40,0
,City of KENOSHA Ward 77,149,62,87,0
,City of KENOSHA Ward 78,123,48,74,1
,City of KENOSHA Ward 79,145,68,77,0
,City of KENOSHA Ward 80,48,11,37,0
,City of KENOSHA Ward 81,92,30,62,0
,City of KENOSHA Ward 82,54,15,39,0
,City of KENOSHA Ward 83,0,0,0,0
,City of KENOSHA Ward 84,56,19,37,0
,City of KENOSHA Ward 85,13,6,7,0
,City of KENOSHA Ward 86,52,13,39,0
,City of KENOSHA Ward 87,142,61,81,0
,City of KENOSHA Ward 88,0,0,0,0
,City of KENOSHA Ward 89,0,0,0,0
,City of KENOSHA Ward 90,0,0,0,0
,City of KENOSHA Ward 91,0,0,0,0
,City of KENOSHA Ward 92,0,0,0,0
,City of KENOSHA Ward 93,0,0,0,0
,City of KENOSHA Ward 94,0,0,0,0
,City of KENOSHA Ward 95,0,0,0,0
,City of KENOSHA Ward 96,0,0,0,0
,City of KENOSHA Ward 97,0,0,0,0
,City of KENOSHA Ward 98,0,0,0,0
,City of KENOSHA Ward 99,0,0,0,0
,County Totals:,"20,995","9,104","11,865",26
KEWAUNEE ,Town of AHNAPEE Ward 1,148,67,81,0
,Town of CARLTON Ward 1-2,291,168,123,0
,Town of CASCO Ward 1-3,368,195,173,0
,Town of FRANKLIN Ward 1,208,85,123,0
,Town of LINCOLN Ward 1,326,159,167,0
,Town of LUXEMBURG Ward 1-3,552,299,253,0
,Town of MONTPELIER Ward 1-3,434,253,181,0
,Town of PIERCE Ward 1-2,202,86,116,0
,Town of RED RIVER Ward 1-3,450,234,216,0
,Town of WEST KEWAUNEE Ward 1-2,244,142,102,0
,Village of CASCO Ward 1,217,121,96,0
,Village of LUXEMBURG Ward 1-5,743,395,348,0
,City of ALGOMA Ward 1-6,432,153,279,0
,City of KEWAUNEE Ward 1-5,711,344,367,0
,County Totals:,"5,326","2,701","2,625",0
LA CROSSE ,Town of BANGOR Ward 1,85,41,44,0
,Town of BARRE Ward 1-2,195,119,76,0
,Town of BURNS Ward 1,131,50,81,0
,Town of CAMPBELL Ward 1-6,"1,009",391,618,0
,Town of FARMINGTON Ward 1-2,298,116,182,0
,Town of GREENFIELD Ward 1-2,314,130,184,0
,Town of HAMILTON Ward 1-5,435,209,226,0
,Town of HOLLAND Wards 1-6,596,242,354,0
,Town of MEDARY Ward 1-2,304,119,185,0
,Town of ONALASKA Ward 1-8,960,418,542,0
,Town of SHELBY Ward 1-6,"1,058",351,707,0
,Town of WASHINGTON Ward 1,102,40,62,0
,Village of BANGOR Wards 1-2,145,49,96,0
,Village of HOLMEN Wards 1-12,"1,023",363,660,0
,Village of ROCKLAND Ward 1,78,32,46,0
,Village of WEST SALEM Wards 1-8,729,286,443,0
,City of LA CROSSE Ward 1,413,145,268,0
,City of LA CROSSE Ward 2,99,25,74,0
,City of LA CROSSE Ward 3,219,67,152,0
,City of LA CROSSE Ward 4,75,15,60,0
,City of LA CROSSE Ward 5,131,26,105,0
,City of LA CROSSE Ward 6,225,45,180,0
,City of LA CROSSE Ward 7,287,50,237,0
,City of LA CROSSE Ward 8,277,47,230,0
,City of LA CROSSE Ward 9,923,172,751,0
,City of LA CROSSE Ward 10,44,8,36,0
,City of LA CROSSE Ward 11,45,5,40,0
,City of LA CROSSE Ward 12,132,21,111,0
,City of LA CROSSE Ward 13,125,23,102,0
,City of LA CROSSE Ward 14,126,27,99,0
,City of LA CROSSE Ward 15,148,15,133,0
,City of LA CROSSE Ward 16,250,70,180,0
,City of LA CROSSE Ward 17,89,14,75,0
,City of LA CROSSE Ward 18,108,21,87,0
,City of LA CROSSE Ward 19,137,30,107,0
,City of LA CROSSE Ward 20,237,53,184,0
,City of LA CROSSE Ward 21,715,171,544,0
,City of LA CROSSE Ward 22,372,84,288,0
,City of LA CROSSE Ward 23,131,35,96,0
,City of LA CROSSE Ward 24,382,106,276,0
,City of LA CROSSE Ward 25,257,75,182,0
,City of LA CROSSE Ward 26,413,117,296,0
,City of LA CROSSE Ward 27,217,68,149,0
,City of LA CROSSE Ward 28,176,48,128,0
,City of LA CROSSE Ward 29,566,175,391,0
,City of LA CROSSE Ward 30,0,0,0,0
,City of LA CROSSE Ward 31,0,0,0,0
,City of LA CROSSE Ward 32,0,0,0,0
,City of LA CROSSE Ward 33,0,0,0,0
,City of LA CROSSE Ward 34,0,0,0,0
,City of LA CROSSE Ward 35,0,0,0,0
,City of ONALASKA Ward 1-4,909,341,568,0
,City of ONALASKA Ward 5-8,853,314,539,0
,City of ONALASKA Ward 9-12,963,416,547,0
,County Totals:,"17,506","5,785","11,721",0
LAFAYETTE ,Town of ARGYLE Ward 1,35,11,24,0
,Town of ARGYLE Ward 2,41,20,21,0
,Town of ARGYLE Ward 3,14,7,7,0
,Town of BELMONT Ward 1,96,49,47,0
,Town of BELMONT Ward 2,22,10,12,0
,Town of BENTON Ward 1,57,34,23,0
,Town of BENTON Ward 2,28,17,11,0
,Town of BLANCHARD Ward 1,73,28,45,0
,Town of DARLINGTON Ward 1,98,60,38,0
,Town of DARLINGTON Ward 2,113,51,62,0
,Town of DARLINGTON Ward 3,41,27,14,0
,Town of ELK GROVE Ward 1,51,25,26,0
,Town of ELK GROVE Ward 2,19,11,8,0
,Town of FAYETTE Ward 1,63,33,30,0
,Town of FAYETTE Ward 2,25,16,9,0
,Town of GRATIOT Ward 1,150,83,67,0
,Town of KENDALL Ward 1,95,44,51,0
,Town of LAMONT Ward 1,67,23,39,5
,Town of LAMONT Ward 2,17,10,7,0
,Town of MONTICELLO Ward 1,40,31,9,0
,Town of NEW DIGGINGS Ward 1,82,38,44,0
,Town of SEYMOUR Ward 1,59,40,19,0
,Town of SEYMOUR Ward 2,16,6,10,0
,Town of SHULLSBURG Ward 1,84,35,49,0
,Town of WAYNE Ward 1,135,85,50,0
,Town of WHITE OAK SPRINGS Ward 1,40,24,16,0
,Town of WILLOW SPRINGS Ward 1,194,112,82,0
,Town of WIOTA Ward 1,211,98,113,0
,Village of ARGYLE Ward 1,136,47,89,0
,Village of BELMONT Ward 1,188,81,107,0
,Village of BENTON Ward 1,233,79,154,0
,Village of BLANCHARDVILLE Ward 1,131,40,91,0
,Village of GRATIOT Ward 1,48,17,31,0
,VILLAGE OF HAZEL GREEN Ward 3,2,2,0,0
,Village of SOUTH WAYNE Ward 1,91,50,41,0
,CITY OF CUBA CITY Ward 5,31,9,22,0
,City of DARLINGTON Ward 1-2,137,51,86,0
,City of DARLINGTON Ward 3,102,46,56,0
,City of DARLINGTON Ward 4,76,27,49,0
,City of DARLINGTON Ward 5,112,41,71,0
,City of DARLINGTON Ward 6,35,7,28,0
,City of SHULLSBURG Ward 1,61,30,31,0
,City of SHULLSBURG Ward 2,175,55,120,0
,City of SHULLSBURG Ward 3,154,58,96,0
,County Totals:,"3,678","1,668","2,005",5
LANGLADE ,Town of ACKLEY Ward 1,65,40,25,0
,Town of AINSWORTH Ward 1,59,39,20,0
,Town of ANTIGO Ward 1-2,203,127,76,0
,Town of ELCHO Ward 1-2,205,100,105,0
,Town of EVERGREEN Ward 1,67,39,28,0
,Town of LANGLADE Ward 1-2,70,47,23,0
,Town of NEVA Ward 1,136,77,59,0
,Town of NORWOOD Ward 1,133,91,42,0
,Town of PARRISH Ward 1,12,7,5,0
,Town of PECK Ward 1,70,45,25,0
,Town of POLAR Ward 1-2,168,111,57,0
,Town of PRICE Ward 1-2,30,17,13,0
,Town of ROLLING Ward 1-2,174,101,73,0
,Town of SUMMIT Ward 1,29,11,18,0
,Town of UPHAM Ward 1,118,60,58,0
,Town of VILAS Ward 1,27,22,5,0
,Town of WOLF RIVER Ward 1-2,133,75,58,0
,Village of WHITE LAKE Ward 1,59,31,28,0
,City of ANTIGO Ward 1,80,41,39,0
,City of ANTIGO Ward 2,86,47,39,0
,City of ANTIGO Ward 3,66,28,38,0
,City of ANTIGO Ward 4,100,42,58,0
,City of ANTIGO Ward 5,42,16,26,0
,City of ANTIGO Ward 6,99,55,44,0
,City of ANTIGO Ward 7,133,65,68,0
,City of ANTIGO Ward 8,58,28,30,0
